bundle,price_10pct_off,profit_10pct_off,price_20pct_side,profit_20pct_side,profit_main_only
Burger + Fries,22.5,19.57,23.4,20.47,14.32
Pasta + Salad,29.7,24.41,30.6,25.31,18.81
Pizza + Ice Cream,21.6,13.98,22.4,14.78,9.01
